amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,maximum_drawdown,Return_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,Score,Fund_Score
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.9453082575156093,0.3033696538698332,-0.2870600572176455,1.0,14.0,1.0,21.0,5.0,7.65,100.0
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.1801011976606495,0.2926358334175106,-0.18188513572116294,8.0,5.0,3.0,15.0,16.0,8.1,98.29545454545453
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.949795824661604,0.3005787817097677,-0.31171900300634214,6.0,13.0,2.0,26.5,4.0,9.825000000000001,91.76136363636363
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.093698743534631,0.2719535450128533,-0.16217208574644848,10.0,7.0,6.0,17.0,21.0,10.6,88.82575757575756
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.3067439695428413,0.27330465038306057,-0.1297396816518679,11.0,2.0,5.0,22.0,28.0,10.9,87.68939393939394
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.9982309868636403,0.2607666908004223,-0.20960883862039192,15.0,11.0,9.0,17.0,13.0,12.900000000000002,80.11363636363636
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.1321218524747252,0.26598577542043045,-0.17248105753451382,9.0,6.0,8.0,38.0,19.0,13.4,78.21969696969697
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.4482911703262604,0.2698375144191807,-0.11265729075028275,17.0,1.0,7.0,23.0,33.0,13.5,77.84090909090908
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.0265242847993006,0.2119482701352573,-0.12588275606922517,20.0,10.0,13.0,12.0,29.0,15.799999999999999,69.12878787878788
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.2349300257743292,0.2827036785246582,-0.1639674294693263,23.0,3.0,4.0,36.5,20.0,15.924999999999999,68.65530303030305
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.0816591793457038,0.21829397904608644,-0.17414075086657232,21.0,8.0,11.0,24.5,18.0,15.975000000000001,68.46590909090908
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,2.0,32.0,36.0,5.5,1.0,16.725,65.62499999999999
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.4484340089089915,0.1750072167561127,-0.2334488614483311,5.0,26.0,18.0,28.5,9.0,16.775,65.43560606060606
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727178,0.23201007160635082,-0.1501238549864533,26.0,4.0,10.0,30.5,24.0,17.775,61.64772727272727
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.16266076928646786,0.10897091901704538,-0.3544691649336603,3.0,28.0,27.0,28.5,3.0,17.875,61.268939393939384
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360141,0.20873010086942337,-0.1527259422823477,19.0,15.0,14.0,26.5,22.0,18.425,59.185606060606055
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249528,0.1625385327998104,-0.1982565826298267,18.0,20.0,20.0,19.0,14.0,18.65,58.33333333333333
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.3006119210425479,0.11989100971217971,-0.21117279560132118,14.0,27.0,26.0,10.0,12.0,18.849999999999998,57.57575757575758
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.7757902498211205,0.17729754927531766,-0.15200013055606398,24.0,18.0,16.0,14.0,23.0,19.3,55.87121212121211
119095,Axis Small Cap Fund - Regular - Growth,20.98,1.38,-0.07597357117478923,0.04801595363775955,-0.5167775370852656,4.0,33.0,37.0,17.0,2.0,19.6,54.73484848484848
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.953279496866011,0.1986859936686296,-0.11803493502764295,34.0,12.0,15.0,4.0,30.0,19.8,53.97727272727272
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.0272133278753697,0.21399784776051212,-0.11291596329323073,22.0,9.0,12.0,36.5,32.0,19.925,53.50378787878787
118633,Nippon India Large Cap Fund - Direct - Growth,12.33,0.72,0.6452074382933218,0.15643835948169668,-0.18629743138595511,27.0,21.0,22.0,5.5,15.0,20.075,52.935606060606055
102887,UTI Flexi Cap Fund - Regular - Growth,15.34,1.64,0.6195175900829826,0.16211256794033255,-0.21539827112383225,13.0,22.0,21.0,39.5,11.0,20.625000000000004,50.852272727272705
120842,Kotak Emerging Equity Fund - Regular - Growth,18.23,1.56,0.07599984804658923,0.0780443887615508,-0.24003511326274884,7.0,30.0,29.0,33.0,8.0,21.150000000000002,48.863636363636346
