scheme_name,Sharpe_Ratio,Rank
Mirae Asset Large Cap Fund - Regular - Growth,1.4482911703262604,1.0
Kotak Flexicap Fund - Regular - Growth,1.3067439695428413,2.0
Mirae Asset Tax Saver Fund - Regular - Growth,1.2349300257743292,3.0
SBI Bluechip Fund - Regular Plan - Growth,1.2082665673727178,4.0
ICICI Pru Midcap Fund - Regular - Growth,1.1801011976606495,5.0
DSP Midcap Fund - Regular - Growth,1.1321218524747252,6.0
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.093698743534631,7.0
Nippon India Large Cap Fund - Regular - Growth,1.0816591793457038,8.0
ABSL Frontline Equity Fund - Regular - Growth,1.0272133278753697,9.0
ICICI Pru Bluechip Fund - Direct - Growth,1.0265242847993006,10.0
Axis Midcap Fund - Regular - Growth,0.9982309868636403,11.0
SBI Bluechip Fund - Direct Plan - Growth,0.953279496866011,12.0
DSP Small Cap Fund - Regular - Growth,0.949795824661604,13.0
SBI Small Cap Fund - Regular Plan - Growth,0.9453082575156093,14.0
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.9262873467360141,15.0
UTI Nifty 50 Index Fund - Regular - Growth,0.817099337349437,16.0
ICICI Pru Bluechip Fund - Regular - Growth,0.7979728586052844,17.0
HDFC Top 100 Fund - Direct Plan - Growth,0.7757902498211205,18.0
Nippon India ETF Nifty 50 BeES,0.6648569985490621,19.0
ICICI Pru Value Discovery Fund - Regular - Growth,0.6488787755249528,20.0
Nippon India Large Cap Fund - Direct - Growth,0.6452074382933218,21.0
UTI Flexi Cap Fund - Regular - Growth,0.6195175900829826,22.0
ICICI Pru Liquid Fund - Regular - Growth,0.495723392953312,23.0
Kotak Bluechip Fund - Regular - Growth,0.4942725378672348,24.0
DSP Top 100 Equity Fund - Regular - Growth,0.46403744922047735,25.0
Nippon India Small Cap Fund - Regular - Growth,0.4484340089089915,26.0
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.3006119210425479,27.0
ABSL Small Cap Fund - Regular - Growth,0.16266076928646786,28.0
Axis Bluechip Fund - Direct - Growth,0.12961449795669325,29.0
Kotak Emerging Equity Fund - Regular - Growth,0.07599984804658923,30.0
Axis Bluechip Fund - Regular - Growth,0.030784850954585916,31.0
SBI Small Cap Fund - Direct Plan - Growth,-0.05718662582817995,32.0
Axis Small Cap Fund - Regular - Growth,-0.07597357117478923,33.0
Kotak Liquid Fund - Regular - Growth,-0.08874729621557288,34.0
HDFC Top 100 Fund - Regular Plan - Growth,-0.20151706755966936,35.0
UTI Mid Cap Fund - Regular - Growth,-0.2058316078547031,36.0
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.22657538662791568,37.0
Nippon India Gilt Securities Fund - Regular - Growth,-0.35662950751436784,38.0
HDFC Short Term Debt Fund - Regular - Growth,-0.5670947928476846,39.0
ABSL Liquid Fund - Regular - Growth,-0.8155673679088258,40.0
